experiment_id,fault_type,create_time,end_time
fb581fa9d70b23ae,cpu-fullload,2025-09-20 07:02:13,2025-09-20 07:03:14
da7e0a3b9ba60e4c,mem-load,2025-09-20 07:04:13,2025-09-20 07:05:14
b53ed0ad0a275c01,mem-load,2025-09-20 07:06:13,2025-09-20 07:07:14
387a389b6da41d42,mem-load,2025-09-20 07:08:13,2025-09-20 07:09:14
a0a2f31fc316d192,network-loss,2025-09-20 07:10:13,2025-09-20 07:11:14
076a9d46706323c7,disk-burn,2025-09-20 07:12:13,2025-09-20 07:13:15
8ccc9c4145335025,disk-fill,2025-09-20 07:14:13,2025-09-20 07:15:14
b42609e6da44c717,mem-load,2025-09-20 07:16:13,2025-09-20 07:17:14
ca3248e485509d0b,cpu-fullload,2025-09-20 07:16:13,2025-09-20 07:17:14
62ab10809bdc8de8,cpu-fullload,2025-09-20 07:18:13,2025-09-20 07:19:15
17eab1183af1bf52,mem-load,2025-09-20 07:18:13,2025-09-20 07:19:14
4dfe3a2ded9c7dcf,cpu-fullload,2025-09-20 07:20:13,2025-09-20 07:21:14
b2492206bc052c87,mem-load,2025-09-20 07:20:13,2025-09-20 07:21:14
8ed776ae93b861bd,network-loss,2025-09-20 07:22:13,2025-09-20 07:23:14
773d79cfd73e2f3e,cpu-fullload,2025-09-20 07:22:13,2025-09-20 07:23:14
0483e4b3c3d69774,cpu-fullload,2025-09-20 07:24:13,2025-09-20 07:25:14
77034854f492c6d2,disk-burn,2025-09-20 07:24:13,2025-09-20 07:25:14
692dbb9067481dc6,cpu-fullload,2025-09-20 07:26:13,2025-09-20 07:27:15
f37a39ae59746886,disk-fill,2025-09-20 07:26:14,2025-09-20 07:27:15
821208e1b1a767c4,mem-load,2025-09-20 07:28:13,2025-09-20 07:29:15
c8631e945cf46370,mem-load,2025-09-20 07:30:15,2025-09-20 07:31:17
8c2dfb2623908984,mem-load,2025-09-20 07:30:15,2025-09-20 07:31:17
d25ac0df18cc0889,mem-load,2025-09-20 07:32:17,2025-09-20 07:33:21
734cd971c1f70891,network-loss,2025-09-20 07:32:17,2025-09-20 07:33:20
075ac2f9923ccf2c,disk-burn,2025-09-20 07:34:13,2025-09-20 07:35:24
c4a7b81406e09e92,mem-load,2025-09-20 07:34:13,2025-09-20 07:35:24
4a2857ce0adde30e,mem-load,2025-09-20 07:36:14,2025-09-20 07:37:16
57a6f37b278ab631,disk-fill,2025-09-20 07:36:14,2025-09-20 07:37:16
9de1f6dadaa09bbc,mem-load,2025-09-20 07:38:14,2025-09-20 07:39:16
c6584f15788d6459,mem-load,2025-09-20 07:38:14,2025-09-20 07:39:16
adbed8faa5be5d45,mem-load,2025-09-20 07:40:15,2025-09-20 07:41:17
0ed19666e0ec1c7a,network-loss,2025-09-20 07:40:15,2025-09-20 07:41:16
4a0f6a77031d0d5c,disk-burn,2025-09-20 07:42:14,2025-09-20 07:43:46
812d51b6c088e05c,mem-load,2025-09-20 07:42:14,2025-09-20 07:43:39
adef07e73893a6be,disk-fill,2025-09-20 07:44:16,2025-09-20 07:45:18
846af054b14aa0a8,mem-load,2025-09-20 07:44:16,2025-09-20 07:45:18
d9f564a9c11047bc,network-loss,2025-09-20 07:46:14,2025-09-20 07:47:16
b6e24bd2bd82e4ee,mem-load,2025-09-20 07:46:14,2025-09-20 07:47:16
37934298f42cce81,mem-load,2025-09-20 07:48:14,2025-09-20 07:49:21
298217f7ac83d2c7,disk-burn,2025-09-20 07:48:14,2025-09-20 07:49:21
0cdd818e16cde05f,mem-load,2025-09-20 07:50:22,2025-09-20 07:51:25
bb6ef64b91af2853,disk-fill,2025-09-20 07:50:22,2025-09-20 07:51:29
366422060a73523a,network-loss,2025-09-20 07:52:13,2025-09-20 07:53:29
2ad5622240795ff5,disk-burn,2025-09-20 07:52:17,2025-09-20 07:53:37
6f4fe5d621457c25,network-loss,2025-09-20 07:54:18,2025-09-20 07:55:30
e4de4388929fba51,disk-fill,2025-09-20 07:54:20,2025-09-20 07:55:31
43bff36bc0c90c14,disk-fill,2025-09-20 07:56:15,2025-09-20 07:57:54
d8e15eb8dd4dbd06,disk-burn,2025-09-20 07:56:15,2025-09-20 07:57:55
