JobID|JobName|NodeList|Submit|Start|End|State|ExitCode|Elapsed
243|ft_ft|None assigned|2025-09-19T19:23:58|Unknown|Unknown|PENDING|0:0|00:00:00
244|ft_is|None assigned|2025-09-19T19:23:58|Unknown|Unknown|PENDING|0:0|00:00:00
245|ft_ep|None assigned|2025-09-19T19:23:58|Unknown|Unknown|PENDING|0:0|00:00:00
246|ft_mgC|None assigned|2025-09-19T19:24:28|Unknown|Unknown|PENDING|0:0|00:00:00
247|ft_isC|None assigned|2025-09-19T19:24:58|Unknown|Unknown|PENDING|0:0|00:00:00
242|ft_ftC|None assigned|2025-09-19T20:19:13|Unknown|Unknown|PENDING|0:0|00:00:00
248|ft_cgC|None assigned|2025-09-19T20:23:15|None|2025-09-19T21:20:15|CANCELLED by 0|0:0|00:00:00
249|ft_ftC|None assigned|2025-09-19T20:23:15|None|2025-09-19T21:20:15|CANCELLED by 0|0:0|00:00:00
250|ft_cg|None assigned|2025-09-19T20:23:15|None|2025-09-19T21:20:15|CANCELLED by 0|0:0|00:00:00
251|ft_is|None assigned|2025-09-19T20:23:15|None|2025-09-19T21:20:15|CANCELLED by 0|0:0|00:00:00
252|ft_ft|None assigned|2025-09-19T20:23:15|None|2025-09-19T21:20:15|CANCELLED by 0|0:0|00:00:00
253|ft_ep|None assigned|2025-09-19T20:23:15|None|2025-09-19T21:20:15|CANCELLED by 0|0:0|00:00:00
254|ft_mgC|None assigned|2025-09-19T20:23:45|None|2025-09-19T21:20:15|CANCELLED by 0|0:0|00:00:00
255|ft_isC|None assigned|2025-09-19T20:24:15|None|2025-09-19T21:20:15|CANCELLED by 0|0:0|00:00:00
