timestamp,cpu_idle_seconds,cpu_user_seconds,cpu_system_seconds,cpu_usage_percent,load_1min,load_5min,processes_running,processes_blocked
2025-09-19 16:10:04,3489.32,126.15,61.47,2.227272727272563,2.27,2.45,7.0,0.0
2025-09-19 16:10:09,3493.59,126.77,61.51,4.3613636363637625,2.33,2.46,9.0,0.0
2025-09-19 16:10:14,3498.29,126.99,61.53,4.568181818182012,2.23,2.44,10.0,0.0
2025-09-19 16:10:19,3503.12,127.11,61.55,4.456282613043484,2.21,2.43,10.0,0.0
2025-09-19 16:10:24,3507.96,127.22,61.56,4.738636363636459,2.19,2.42,9.0,0.0
2025-09-19 16:10:29,3512.09,127.94,61.65,6.545454545454604,2.26,2.43,11.0,0.0
2025-09-19 16:10:34,3516.56,128.27,61.73,8.302878234149816,2.4,2.46,7.0,0.0
2025-09-19 16:10:39,3521.32,128.42,61.76,9.122106870783895,2.44,2.47,8.0,0.0
2025-09-19 16:10:44,3526.18,128.5,61.78,9.398352697321897,2.49,2.48,13.0,0.0
2025-09-19 16:10:49,3530.94,128.69,61.8,9.736995218094847,2.53,2.49,9.0,0.0
2025-09-19 16:10:54,3535.87,128.72,61.82,9.784090909090963,2.41,2.46,12.0,0.0
2025-09-19 16:10:59,3540.45,128.99,61.88,10.23863636363673,2.37,2.45,6.0,0.0
2025-09-19 16:11:04,3545.24,129.06,61.99,8.219850548171934,2.43,2.46,7.0,0.0
