程序,Class,实际运行时间(秒),运行时间(分:秒),计算类型,适用场景,tag
ep.A.x,A,1.95,0:01,CPU密集,无通信,test
mg.B.x,B,5.02,0:05,多重网格,中通信,test
sp.B.x,B,125.92,2:05,稀疏矩阵,低通信,test
cg.B.x,B,28.25,0:28,共轭梯度,中通信,test
bt.B.x,B,90.27,1:30,块三维FFT,高通信,test
lu.B.x,B,66.33,1:06,LU分解,高通信,test
ep.B.x,B,8.59,0:08,CPU密集,无通信,test
cg.C.x,C,82.91,1:22,共轭梯度,中通信,test
is.B.x,B,2.77,0:02,整数排序,低通信,test
ft.C.x,C,FAILED,FAILED,FFT,高通信,test
cg.D.x,D,FAILED,FAILED,共轭梯度,中通信,test
ep.D.x,D,473.23,7:53,CPU密集,无通信,test
is.A.x,A,1.11,0:01,整数排序,低通信,test
ep.C.x,C,29.83,0:29,CPU密集,无通信,test
is.D.x,D,FAILED,FAILED,整数排序,低通信,test
ft.B.x,B,20.09,0:20,FFT,高通信,test
cg.A.x,A,1.11,0:01,共轭梯度,中通信,test
is.C.x,C,9.81,0:09,整数排序,低通信,test
mg.C.x,C,36.10,0:36,多重网格,中通信,test
