程序,Class,实际运行时间(秒),运行时间(分:秒),计算类型,适用场景
ep.A.x,A,2.278884058,0:02.28,CPU密集,无通信,测试
ep.B.x,B,7.704591102,0:07.70,CPU密集,无通信,测试
ep.C.x,C,32.274784380,0:32.27,CPU密集,无通信,测试
is.A.x,A,1.160735710,0:01.16,整数排序,低通信,测试
is.B.x,B,3.736447927,0:03.74,整数排序,低通信,测试
is.C.x,C,14.487338119,0:14.49,整数排序,低通信,测试
mg.B.x,B,4.992934682,0:04.99,多重网格,中等通信,测试
mg.C.x,C,46.142142558,0:46.14,多重网格,中等通信,测试
cg.A.x,A,1.321999008,0:01.32,共轭梯度,中等通信,测试
cg.B.x,B,36.110343822,0:36.11,共轭梯度,中等通信,测试
cg.C.x,C,125.045983893,2:05.05,共轭梯度,中等通信,测试
ft.B.x,B,27.028205722,0:27.03,FFT计算,高通信,测试
ft.C.x,C,FAILED,FAILED,FFT计算,高通信,测试
bt.B.x,B,112.751905602,1:52.75,块三对角,高通信,测试
lu.B.x,B,69.592920810,1:09.59,LU分解,高通信,测试
sp.B.x,B,121.654984965,2:01.65,标量五对角,高通信,测试
